No.,Country,Centres,Town
4,Netherlands,Canisius Wilhelmina Ziekenhuis,Nijmegen
1,Poland,Internal Affairs Hospital,Bialystok
2,Poland,The Maria Sklodowska- Curie Memorial Cancer Center and Institute of Oncology,Warsaw
1,Portugal,Champalimaud Foundation/Champalimaud Clinical Center,Lisbon
2,Portugal,Centro de Mama - Hospital de S. Jo�o,Porto
3,Portugal,Hospital Garcia de Orta,Almada
4,Portugal,Centro Hospitalar Barreiro-Montijo,Barreiro
5,Portugal,hospital de Braga,braga
6,Portugal,Centro Hospitalar e Universit�rio de Coimbra,Coimbra
7,Portugal,Hospital Espirito Santo Evora,Evora
8,Portugal,Centro Hospitalar Lisboa Central,Lisbon
9,Portugal,Instituto Portugu�s de Oncologia de Lisboa,Lisbon
10,Portugal,Instituto Portugues de Oncologia do Porto,Porto
11,Portugal,"Unidade de Senologia - Hospital de Santar�m, EPE",Santar�m
12,Portugal,"Centro Hospitalar de Set�bal, E.P.E.",Set�bal
1,Romania,SANADOR,Bucharest
2,Romania,�Prof. Dr. Ion Chiricuta� Institute of Oncology,Cluj-Napoca
1,Serbia,Clinical Centre 'Kragujevac',Kragujevac
1,Slovakia,St. Agatha Breast Centre ProCare,Podkonice
2,Slovenia,The Institute of Oncology Ljubljana,Ljubljana
1,Spain,Hospital Universitario La Paz,Madrid
2,Spain,Hospital Universitario Cruces,Baracaldo
3,Spain,Hospital del Mar,Barcelona
4,Spain,MD Anderson Cancer Center. Madrid. Espa�a,Madrid
5,Spain,Hospital Universitario De Salamanca,Salamanca
6,Spain,Hospital Universitari i Politecnic La Fe,Valencia
1,Sweden,Karolinska University Hospital,Stockholm
1,Switzerland,Brustzentrum Mittelland Kantonsspit�ler Aarau/Olten,Aarau
2,Switzerland,Brustzentrum Bern,Bern
3,Switzerland,University Hospital Berne,Berne
4,Switzerland,Centro di Senologia della Svizzera Italiana,Viganello - Lugano
5,Switzerland,Clinique de Genolier,Genolier
6,Switzerland,Brust-Zentrum AG,Z�rich
1,Turkey,Istanbul Florence Nightingale Hospital,Istanbul
2,Turkey,Dr. Abdurrahman Yurtaslan Ankara Oncology Training and Research Hospital,Ankara
3,Turkey,G�lhane Training and Research Hospital,Ankara
4,Turkey,Guven Hospital,Ankara
5,Turkey,Medicana International Ankara Hospital,Ankara
6,Turkey,"Istanbul University, Institute of Oncology, Surgical Oncology Unit","Capa, Istanbul"
7,Turkey,Acibadem Altunizade Hospital,Istanbul
8,Turkey,Acibadem Research Institiute of Senology (Maslak Hospital),Istanbul
9,Turkey,BHT CLINIC,ISTANBUL
10,Turkey,Haseki Research and Training Hospital,Istanbul
11,Turkey,Istanbul Medeniyet University,Istanbul
12,Turkey,Istanbul Onkoloji Hastanesi,Istanbul
13,Turkey,Istanbul University Cerrahpasa Medical Faculty Breast Center,Istanbul
14,Turkey,Liv Hospital Ulus,Istanbul
15,Turkey,Okan University,Istanbul
16,Turkey,Anadolu Medical Center,Kocaeli
17,Turkey,Kocaeli University School of Medicine,Kocaeli
18,Turkey,Marmara University Hospital Breast Center,"Pendik, Istanbul"
19,Turkey,Zonguldak Bulent Ecevit University The School of Medicine,Zonguldak
1,Ukraine,Innovacia Cancer Center,Kiev
2,Ukraine,Verum Expert Clinic,Kiev
3,Ukraine,Innovacia Cancer Center,Lyutizh
4,Ukraine,Mariupol Cancer Center,Mariupol
5,Ukraine,LISOD Hospital of Israeli Oncology,Plyuty
1,United Kingdom of Great Britain and Northern Ireland,Ipswich Hospital NHS,Ipswich
2,United Kingdom of Great Britain and Northern Ireland,Guy's & St. Thomas' NHS Foundation Trust,London
3,United Kingdom of Great Britain and Northern Ireland,St Helens and Knowsley Teaching Hospital,St Helens
1,Egypt,Alexandria Univerisity Hospital,Alexandria
2,Egypt,Alfa Cure Oncology Center,Cairo
3,Egypt,Cairo Oncology Center,Giza
1,South Africa,"Groote Schuur Academic Hospital, Department of Surgery, J46-69 Old Main Building",Cape Town
2,South Africa,Chris Hani Baragwanath Academic Hospital,Johannesburg
3,South Africa,Helen Joseph Breast Care Clinic,Johannesburg
1,Sudan,Khartoum Breast Care Centre,Khartoum
2,Sudan,Khartoum Teaching Hospital,Khartoum
1,Tanzania,Muhimbili National Hospital,Dar Es Salaam
1,Tunisia,F. Hached University Teaching Hospital,Sousse
2,Tunisia,International HANNIBAL Clinic,Tunis
1,Armenia,National Center of Oncology,Yerevan
1,Azerbaijan,MOM,Baku
1,China,Guilin Traditional Chinese Medicine Hospital,Guilin
1,India,"Max Institute of Cancer Care, Max Healthcare",Delhi
2,India,Basavatarakam Indo American Cancer Hospital and Research Institute,"Hyderabad, Telangana"
3,India,Tata Medical Center,"Kolkata, West Bengal"
4,India,"Netaji Subhas Chandra Bose Cancer Hospital, Institute of Breast Diseases Kolkata",Kolkata
5,India,Chennai Breast Centre,"MRC Nagar, Tamilnadu"
6,India,Tata Memorial Centre,"Mumbai, Maharashtra"
7,India,"Jehangir Breast Care Centre, Jehangir Hospital","Pune, Maharashtra"
8,India,Prashanti Cancer Care Mission,Pune
9,India,Ruby Hall Clinic,Pune
1,Iraq,Pink Line Breast Center,Erbil
1,Israel,Shaare Zedek Medical Centre,Jerusalem
1,Japan,Tokyo-West Tokushukai Hospital,Matsubara
2,Japan,Kyorin University Hospital,Mitaka
3,Japan,Showa University Hospital,Tokyo
1,Jordan,King Hussain Medical Center,Amman
1,Lebanon,Hotel Dieu de France University Hospital,Beirut
1,Pakistan,Aga Khan University,"Karachi, Sindh"
1,Australia,Western Breast Clinic,Henley Beach SA
2,Australia,Breast Cancer Research Centre - WA,Perth
1,Argentina,Instituto de Oncolog�a Angel H Roffo Universidad de Buenos Aires,Buenos Aires CABA
2,Argentina,Hospital Brit�nico de Buenos Aires,Buenos Aires
3,Argentina,Instituto Alexander Fleming,Buenos Aires
4,Argentina,Centro Mamario del Hospital Universitario Austral,"Derqui, Partido de Pilar, Buenos Aires"
5,Argentina,Instituto Ginecomamario,Mendoza
6,Argentina,Centro De Mastologia,"Rosario, Santa Fe"
7,Argentina,IMGO Breast Unit. Instituto Modelo Privado de Ginecolog�a y Obstetricia,Cordoba
8,Argentina,Breast Clinica de la Mama and Italian Hospital,"La Plata, Buenos Aires"
9,Argentina,Unidad de Mastolog�a de Grupo Oro�o,Rosario
10,Argentina,Unidad de mastologia de la secretaria de salud p�blica municipalidad de Rosario (CEMAR),ROSARIO
1,Brazil,Santa Casa de Belo Horizonte,"Belo Horizonte, MG"
2,Brazil,Hospital Nossa Senhora das Gra�as,Curitiba
3,Brazil,Araujo Jorge Hospital,Goiania
4,Brazil,MAMARJ. CLINICA DE MASTOLOGIA,Nova Igua�u
5,Brazil,Hospital Moinhos de Vento,PORTO ALEGRE
6,Brazil,Hospital S�o Lucas PUCRS,Porto Alegre
7,Brazil,HOSPITAL UNIVERSIT�RIO OSWALDO CRUZ,Recife
8,Brazil,Hospital da Mulher Maria Luzia dos Santos,"Salvador, Bahia"
9,Brazil,A Benefic�ncia Portuguesa de S�o Paulo,S�o Paulo
10,Brazil,Hospital S�rio-Liban�s,S�o Paulo
11,Brazil,Instituto Brasileiro de Controle do Cancer - IBCC/ S�o Camilo Oncologia,S�o Paulo
12,Brazil,Perola Byington Hospital,S�o Paulo
13,Brazil,Instituto Conquistense de Mastologia - IMASTO,Vit�ria da Conquista
1,Chile,A. Lopez Perez Foundation Comprehensive Cancer Center,Santiago
2,Chile,"Centro de C�ncer Nuestra Se�ora de la Esperanza, Pontificia Universidad Cat�lica de Chile",Santiago
1,Colombia,Clinica De Occidente S.A,Cali
2,Colombia,Clinica Medellin,Medellin
3,Colombia,Instituto Cancerologia Clinica Las Americas,Medellin
1,Ecuador,Centro Oncologico Integral (CENONI),Guayaquil
1,Mexico,Institute of Breast Disease FUCAM A.C.,M�xico City
2,Mexico,Unidad De Cancerologia,"Zapopan, Guadalajara Jalisco"
1,Peru,CLINICA ONCOSALUD - AUNA,LIMA
1,Peru,Centro Oncol�gico ALIADA,Lima
1,Uruguay,Hospital Central de las Fuerzas Armadas/ HCFFAA/,Montevideo
2,Uruguay,BRITISH HOSPITAL OF MONTEVIDEO,MONTEVIDEO
1,United States of America,Bellingham Regional Breast Center,"Bellingham, Washington"
2,United States of America,Smilow Cancer Hospital at Yale-New Haven,"New Haven, Connecticut"
